date,close,open,high,low,volume
2013-11-20,18.392839,18.54391,18.58641,18.36891,194183386.183386
2013-11-21,18.611981,18.485696,18.614624,18.345339,262027706.027706
2013-11-22,18.564267,18.554267,18.648553,18.51891,223725151.725152
2013-11-25,18.704981,18.607839,18.781053,18.607124,229393841.393841
2013-11-26,19.049981,18.718553,19.147838,18.714267,401383313.383313
2013-11-27,19.498552,19.153902,19.499981,19.049981,363447727.447727
2013-11-29,19.859623,19.624266,19.940337,19.564623,318129178.129178
2013-12-02,19.686766,19.928552,20.154619,19.672123,472544012.544013
2013-12-03,20.225765,19.939266,20.227837,19.917123,450967386.967387
2013-12-04,20.178551,20.196408,20.328194,20.029266,377811041.811042
2013-12-05,20.282158,20.451765,20.540544,20.228908,447581707.581708
2013-12-06,20.000694,20.206766,20.241051,19.984623,344353752.353752
2013-12-09,20.229623,20.032126,20.342123,20.032126,320494452.494452
2013-12-10,20.198194,20.127837,20.281408,20.042837,278270718.270718
2013-12-11,20.048551,20.24998,20.391765,19.988909,359719131.719132
2013-12-12,20.019266,20.076462,20.190694,20.001051,262289534.289534
2013-12-13,19.801052,20.101766,20.102837,19.773909,332821464.821465
2013-12-16,19.910694,19.822123,20.094226,19.821766,282594090.594091
2013-12-17,19.821052,19.850337,19.97998,19.763373,229902825.902826
2013-12-18,19.670337,19.632123,19.694623,19.242838,565863793.863794
2013-12-19,19.444981,19.62498,19.642838,19.418913,320957796.957797
2013-12-20,19.607838,19.479623,19.700337,19.457748,436414176.414176
2013-12-23,20.360337,20.285694,20.382837,20.098551,501307825.307825
2013-12-24,20.273908,20.353194,20.424265,20.215337,167555107.555108
2013-12-26,20.139266,20.289265,20.339265,20.120551,204008344.008344
2013-12-27,20.003194,20.136408,20.15748,19.982123,225885493.885494
2013-12-30,19.804266,19.909266,20.003194,19.72573,253631141.631142
2013-12-31,20.036409,19.791766,20.045694,19.785695,223277711.277711
2014-01-02,19.754623,19.845694,19.893909,19.715016,235168063.168063
2014-01-03,19.320695,19.74498,19.77498,19.301052,393215873.215873
2014-01-06,19.426052,19.194624,19.528552,19.057124,413437017.437017
